TransactionNo,Items,DateTime,Daypart,DayType
21,Medialuna,30-10-2016 10:49,Morning,Weekend
21,Bread,30-10-2016 10:49,Morning,Weekend
22,Jam,30-10-2016 10:52,Morning,Weekend
23,Scandinavian,30-10-2016 10:53,Morning,Weekend
23,Muffin,30-10-2016 10:53,Morning,Weekend
24,Bread,30-10-2016 10:54,Morning,Weekend
25,Scandinavian,30-10-2016 10:55,Morning,Weekend
26,Fudge,30-10-2016 10:56,Morning,Weekend
27,Scandinavian,30-10-2016 11:02,Morning,Weekend
28,Coffee,30-10-2016 11:03,Morning,Weekend
28,Bread,30-10-2016 11:03,Morning,Weekend
29,Bread,30-10-2016 11:05,Morning,Weekend
29,Jam,30-10-2016 11:05,Morning,Weekend
30,Bread,30-10-2016 11:07,Morning,Weekend
31,Basket,30-10-2016 11:12,Morning,Weekend
32,Scandinavian,30-10-2016 11:16,Morning,Weekend
32,Muffin,30-10-2016 11:16,Morning,Weekend
33,Coffee,30-10-2016 11:22,Morning,Weekend
34,Coffee,30-10-2016 11:25,Morning,Weekend
34,Muffin,30-10-2016 11:25,Morning,Weekend
35,Muffin,30-10-2016 11:27,Morning,Weekend
35,Scandinavian,30-10-2016 11:27,Morning,Weekend
36,Tea,30-10-2016 11:33,Morning,Weekend
36,Bread,30-10-2016 11:33,Morning,Weekend
37,Coffee,30-10-2016 11:37,Morning,Weekend
37,Bread,30-10-2016 11:37,Morning,Weekend
38,Bread,30-10-2016 11:42,Morning,Weekend
38,Tea,30-10-2016 11:42,Morning,Weekend
39,Scandinavian,30-10-2016 11:44,Morning,Weekend
40,Juice,30-10-2016 11:55,Morning,Weekend
40,Tartine,30-10-2016 11:55,Morning,Weekend
40,Coffee,30-10-2016 11:55,Morning,Weekend
40,Muffin,30-10-2016 11:55,Morning,Weekend
41,Scandinavian,30-10-2016 11:57,Morning,Weekend
42,Bread,30-10-2016 11:57,Morning,Weekend
42,Tea,30-10-2016 11:57,Morning,Weekend
43,Scandinavian,30-10-2016 12:00,Afternoon,Weekend
43,Fudge,30-10-2016 12:00,Afternoon,Weekend
44,Coffee,30-10-2016 12:05,Afternoon,Weekend
44,Medialuna,30-10-2016 12:05,Afternoon,Weekend
45,Coffee,30-10-2016 12:08,Afternoon,Weekend
45,Hot chocolate,30-10-2016 12:08,Afternoon,Weekend
45,Medialuna,30-10-2016 12:08,Afternoon,Weekend
46,Coffee,30-10-2016 12:09,Afternoon,Weekend
47,Ella's Kitchen Pouches,30-10-2016 12:15,Afternoon,Weekend
47,Juice,30-10-2016 12:15,Afternoon,Weekend
47,Bread,30-10-2016 12:15,Afternoon,Weekend
47,Muffin,30-10-2016 12:15,Afternoon,Weekend
47,Jam,30-10-2016 12:15,Afternoon,Weekend
48,Coffee,30-10-2016 12:17,Afternoon,Weekend
49,Coffee,30-10-2016 12:23,Afternoon,Weekend
49,Coffee,30-10-2016 12:23,Afternoon,Weekend
49,Medialuna,30-10-2016 12:23,Afternoon,Weekend
50,Bread,30-10-2016 12:25,Afternoon,Weekend
50,Victorian Sponge,30-10-2016 12:25,Afternoon,Weekend
51,Bread,30-10-2016 12:26,Afternoon,Weekend
52,Scandinavian,30-10-2016 12:28,Afternoon,Weekend
54,Bread,30-10-2016 12:33,Afternoon,Weekend
55,Frittata,30-10-2016 12:38,Afternoon,Weekend
55,Coffee,30-10-2016 12:38,Afternoon,Weekend
55,Tea,30-10-2016 12:38,Afternoon,Weekend
55,Hearty & Seasonal,30-10-2016 12:38,Afternoon,Weekend
56,Coffee,30-10-2016 12:39,Afternoon,Weekend
56,Frittata,30-10-2016 12:39,Afternoon,Weekend
57,Scandinavian,30-10-2016 12:45,Afternoon,Weekend
58,Victorian Sponge,30-10-2016 12:59,Afternoon,Weekend
58,Hot chocolate,30-10-2016 12:59,Afternoon,Weekend
58,Tea,30-10-2016 12:59,Afternoon,Weekend
58,Soup,30-10-2016 12:59,Afternoon,Weekend
59,Tea,30-10-2016 13:02,Afternoon,Weekend
60,Cookies,30-10-2016 13:14,Afternoon,Weekend
60,Coffee,30-10-2016 13:14,Afternoon,Weekend
60,Juice,30-10-2016 13:14,Afternoon,Weekend
60,Coffee,30-10-2016 13:14,Afternoon,Weekend
61,Coffee,30-10-2016 13:15,Afternoon,Weekend
62,Pick and Mix Bowls,30-10-2016 13:24,Afternoon,Weekend
62,Hearty & Seasonal,30-10-2016 13:24,Afternoon,Weekend
62,Hearty & Seasonal,30-10-2016 13:24,Afternoon,Weekend
62,Coffee,30-10-2016 13:24,Afternoon,Weekend
62,Smoothies,30-10-2016 13:24,Afternoon,Weekend
62,Coffee,30-10-2016 13:24,Afternoon,Weekend
63,Coffee,30-10-2016 13:33,Afternoon,Weekend
64,Cake,30-10-2016 13:34,Afternoon,Weekend
65,Tartine,30-10-2016 13:37,Afternoon,Weekend
65,Mighty Protein,30-10-2016 13:37,Afternoon,Weekend
65,Tea,30-10-2016 13:37,Afternoon,Weekend
65,Coffee,30-10-2016 13:37,Afternoon,Weekend
66,Hearty & Seasonal,30-10-2016 13:40,Afternoon,Weekend
66,Frittata,30-10-2016 13:40,Afternoon,Weekend
66,Mineral water,30-10-2016 13:40,Afternoon,Weekend
67,Hearty & Seasonal,30-10-2016 13:46,Afternoon,Weekend
67,Mineral water,30-10-2016 13:46,Afternoon,Weekend
67,Muffin,30-10-2016 13:46,Afternoon,Weekend
68,Frittata,30-10-2016 13:49,Afternoon,Weekend
68,Coffee,30-10-2016 13:49,Afternoon,Weekend
68,Tea,30-10-2016 13:49,Afternoon,Weekend
68,Scandinavian,30-10-2016 13:49,Afternoon,Weekend
68,Chicken sand,30-10-2016 13:49,Afternoon,Weekend
69,Bread,30-10-2016 13:51,Afternoon,Weekend
69,Tea,30-10-2016 13:51,Afternoon,Weekend
69,Victorian Sponge,30-10-2016 13:51,Afternoon,Weekend
70,Fudge,30-10-2016 13:54,Afternoon,Weekend
71,Muffin,30-10-2016 13:56,Afternoon,Weekend
72,Coffee,30-10-2016 14:21,Afternoon,Weekend
72,Bread,30-10-2016 14:21,Afternoon,Weekend
73,Bread,30-10-2016 14:22,Afternoon,Weekend
74,Coffee,30-10-2016 14:24,Afternoon,Weekend
74,Bread,30-10-2016 14:24,Afternoon,Weekend
75,Jam,30-10-2016 14:32,Afternoon,Weekend
75,Frittata,30-10-2016 14:32,Afternoon,Weekend
76,Coffee,30-10-2016 14:32,Afternoon,Weekend
77,Scandinavian,30-10-2016 14:35,Afternoon,Weekend
78,Fudge,30-10-2016 14:42,Afternoon,Weekend
79,Fudge,30-10-2016 14:45,Afternoon,Weekend
79,Tea,30-10-2016 14:45,Afternoon,Weekend
79,Coffee,30-10-2016 14:45,Afternoon,Weekend
79,Muffin,30-10-2016 14:45,Afternoon,Weekend
80,Frittata,30-10-2016 14:48,Afternoon,Weekend
80,Bread,30-10-2016 14:48,Afternoon,Weekend
80,Coffee,30-10-2016 14:48,Afternoon,Weekend
81,Coffee,31-10-2016 08:28,Morning,Weekday
81,Cake,31-10-2016 08:28,Morning,Weekday
82,Tartine,31-10-2016 08:47,Morning,Weekday
82,Bread,31-10-2016 08:47,Morning,Weekday
83,Coffee,31-10-2016 08:57,Morning,Weekday
83,Bread,31-10-2016 08:57,Morning,Weekday
84,Bread,31-10-2016 09:04,Morning,Weekday
85,Coffee,31-10-2016 09:10,Morning,Weekday
85,Coffee,31-10-2016 09:10,Morning,Weekday
85,Pastry,31-10-2016 09:10,Morning,Weekday
85,Medialuna,31-10-2016 09:10,Morning,Weekday
86,Juice,31-10-2016 09:11,Morning,Weekday
87,Bread,31-10-2016 09:12,Morning,Weekday
88,Coffee,31-10-2016 09:16,Morning,Weekday
88,Coffee,31-10-2016 09:16,Morning,Weekday
88,Jam,31-10-2016 09:16,Morning,Weekday
89,Bread,31-10-2016 09:19,Morning,Weekday
90,Bread,31-10-2016 09:20,Morning,Weekday
90,Coffee,31-10-2016 09:20,Morning,Weekday
91,Tea,31-10-2016 09:22,Morning,Weekday
92,Coffee,31-10-2016 09:27,Morning,Weekday
93,Bread,31-10-2016 09:29,Morning,Weekday
93,Coke,31-10-2016 09:29,Morning,Weekday
94,Coffee,31-10-2016 09:39,Morning,Weekday
94,Coffee,31-10-2016 09:39,Morning,Weekday
95,Tea,31-10-2016 09:43,Morning,Weekday
95,Pastry,31-10-2016 09:43,Morning,Weekday
95,Farm House,31-10-2016 09:43,Morning,Weekday
96,Pastry,31-10-2016 09:46,Morning,Weekday
96,Pastry,31-10-2016 09:46,Morning,Weekday
96,Coffee,31-10-2016 09:46,Morning,Weekday
96,Juice,31-10-2016 09:46,Morning,Weekday
97,Coffee,31-10-2016 09:51,Morning,Weekday
97,Pastry,31-10-2016 09:51,Morning,Weekday
97,Juice,31-10-2016 09:51,Morning,Weekday
98,Farm House,31-10-2016 09:52,Morning,Weekday
99,Pastry,31-10-2016 09:56,Morning,Weekday
99,Pastry,31-10-2016 09:56,Morning,Weekday
99,Coffee,31-10-2016 09:56,Morning,Weekday
99,Bread,31-10-2016 09:56,Morning,Weekday
100,Bread,31-10-2016 09:58,Morning,Weekday
101,Coffee,31-10-2016 10:04,Morning,Weekday
101,Pastry,31-10-2016 10:04,Morning,Weekday
102,Farm House,31-10-2016 10:04,Morning,Weekday
103,Bread,31-10-2016 10:07,Morning,Weekday
104,Coffee,31-10-2016 10:12,Morning,Weekday
104,Coffee,31-10-2016 10:12,Morning,Weekday
104,Medialuna,31-10-2016 10:12,Morning,Weekday
104,Muffin,31-10-2016 10:12,Morning,Weekday
104,Coffee,31-10-2016 10:12,Morning,Weekday
105,Coffee,31-10-2016 10:21,Morning,Weekday
105,Tea,31-10-2016 10:21,Morning,Weekday
105,Cake,31-10-2016 10:21,Morning,Weekday
106,Coffee,31-10-2016 10:24,Morning,Weekday
106,Coffee,31-10-2016 10:24,Morning,Weekday
106,Pastry,31-10-2016 10:24,Morning,Weekday
106,Pastry,31-10-2016 10:24,Morning,Weekday
107,Coffee,31-10-2016 10:27,Morning,Weekday
107,Tea,31-10-2016 10:27,Morning,Weekday
108,Farm House,31-10-2016 10:31,Morning,Weekday
108,Muffin,31-10-2016 10:31,Morning,Weekday
109,Bread,31-10-2016 10:35,Morning,Weekday
109,Muffin,31-10-2016 10:35,Morning,Weekday
109,Pastry,31-10-2016 10:35,Morning,Weekday
110,Pastry,31-10-2016 10:36,Morning,Weekday
111,Coffee,31-10-2016 10:38,Morning,Weekday
112,Coffee,31-10-2016 10:59,Morning,Weekday
113,Coffee,31-10-2016 11:02,Morning,Weekday
113,Cake,31-10-2016 11:02,Morning,Weekday
114,Farm House,31-10-2016 11:05,Morning,Weekday
115,Bread,31-10-2016 11:08,Morning,Weekday
116,Coffee,31-10-2016 11:11,Morning,Weekday
117,Cookies,31-10-2016 11:13,Morning,Weekday
117,Cake,31-10-2016 11:13,Morning,Weekday
117,Coffee,31-10-2016 11:13,Morning,Weekday
117,My-5 Fruit Shoot,31-10-2016 11:13,Morning,Weekday
118,Cookies,31-10-2016 11:18,Morning,Weekday
118,Cookies,31-10-2016 11:18,Morning,Weekday
118,Tea,31-10-2016 11:18,Morning,Weekday
118,Pastry,31-10-2016 11:18,Morning,Weekday
119,Coffee,31-10-2016 11:25,Morning,Weekday
119,Coffee,31-10-2016 11:25,Morning,Weekday
119,Muffin,31-10-2016 11:25,Morning,Weekday
120,Farm House,31-10-2016 11:29,Morning,Weekday
121,Coffee,31-10-2016 11:30,Morning,Weekday
121,Bread,31-10-2016 11:30,Morning,Weekday
122,Cookies,31-10-2016 11:37,Morning,Weekday
123,Jam,31-10-2016 11:42,Morning,Weekday
123,Coffee,31-10-2016 11:42,Morning,Weekday
123,Coffee,31-10-2016 11:42,Morning,Weekday
123,Juice,31-10-2016 11:42,Morning,Weekday
124,Coffee,31-10-2016 11:43,Morning,Weekday
124,Soup,31-10-2016 11:43,Morning,Weekday
125,Tea,31-10-2016 11:47,Morning,Weekday
126,Coffee,31-10-2016 11:52,Morning,Weekday
126,Jam,31-10-2016 11:52,Morning,Weekday
127,Farm House,31-10-2016 11:53,Morning,Weekday
128,Tartine,31-10-2016 11:55,Morning,Weekday
128,Coffee,31-10-2016 11:55,Morning,Weekday
128,Tea,31-10-2016 11:55,Morning,Weekday
129,Coffee,31-10-2016 11:59,Morning,Weekday
129,Coffee,31-10-2016 11:59,Morning,Weekday
129,Cake,31-10-2016 11:59,Morning,Weekday
130,Coffee,31-10-2016 12:03,Afternoon,Weekday
130,Coffee,31-10-2016 12:03,Afternoon,Weekday
130,Muffin,31-10-2016 12:03,Afternoon,Weekday
131,Bread,31-10-2016 12:08,Afternoon,Weekday
131,Coffee,31-10-2016 12:08,Afternoon,Weekday
132,Tea,31-10-2016 12:14,Afternoon,Weekday
132,Juice,31-10-2016 12:14,Afternoon,Weekday
132,Pick and Mix Bowls,31-10-2016 12:14,Afternoon,Weekday
132,Cookies,31-10-2016 12:14,Afternoon,Weekday
133,Hearty & Seasonal,31-10-2016 12:16,Afternoon,Weekday
133,Soup,31-10-2016 12:16,Afternoon,Weekday
134,Hearty & Seasonal,31-10-2016 12:19,Afternoon,Weekday
134,Tea,31-10-2016 12:19,Afternoon,Weekday
134,Farm House,31-10-2016 12:19,Afternoon,Weekday
135,Bread,31-10-2016 12:20,Afternoon,Weekday
136,Tea,31-10-2016 12:27,Afternoon,Weekday
136,Soup,31-10-2016 12:27,Afternoon,Weekday
137,Farm House,31-10-2016 12:37,Afternoon,Weekday
138,Soup,31-10-2016 12:43,Afternoon,Weekday
138,Hearty & Seasonal,31-10-2016 12:43,Afternoon,Weekday
138,Coffee,31-10-2016 12:43,Afternoon,Weekday
139,Bread,31-10-2016 12:50,Afternoon,Weekday
139,Muffin,31-10-2016 12:50,Afternoon,Weekday
139,Hearty & Seasonal,31-10-2016 12:50,Afternoon,Weekday
140,Coffee,31-10-2016 12:53,Afternoon,Weekday
140,Coffee,31-10-2016 12:53,Afternoon,Weekday
140,Cookies,31-10-2016 12:53,Afternoon,Weekday
141,Bread,31-10-2016 12:54,Afternoon,Weekday
142,Tea,31-10-2016 12:56,Afternoon,Weekday
142,Muffin,31-10-2016 12:56,Afternoon,Weekday
143,Tea,31-10-2016 12:59,Afternoon,Weekday
144,Soup,31-10-2016 13:02,Afternoon,Weekday
144,Hearty & Seasonal,31-10-2016 13:02,Afternoon,Weekday
145,Coffee,31-10-2016 13:05,Afternoon,Weekday
145,Tea,31-10-2016 13:05,Afternoon,Weekday
145,Focaccia,31-10-2016 13:05,Afternoon,Weekday
146,Sandwich,31-10-2016 13:08,Afternoon,Weekday
147,Tartine,31-10-2016 13:09,Afternoon,Weekday
147,Coffee,31-10-2016 13:09,Afternoon,Weekday
148,Fudge,31-10-2016 13:21,Afternoon,Weekday
148,Coffee,31-10-2016 13:21,Afternoon,Weekday
148,Coffee,31-10-2016 13:21,Afternoon,Weekday
149,Coffee,31-10-2016 13:26,Afternoon,Weekday
150,Bread,31-10-2016 13:31,Afternoon,Weekday
151,Coke,31-10-2016 13:50,Afternoon,Weekday
151,Soup,31-10-2016 13:50,Afternoon,Weekday
152,Muffin,31-10-2016 13:51,Afternoon,Weekday
153,Tea,31-10-2016 13:55,Afternoon,Weekday
153,Coffee,31-10-2016 13:55,Afternoon,Weekday
153,Cookies,31-10-2016 13:55,Afternoon,Weekday
153,Muffin,31-10-2016 13:55,Afternoon,Weekday
154,Mighty Protein,31-10-2016 14:00,Afternoon,Weekday
154,Hearty & Seasonal,31-10-2016 14:00,Afternoon,Weekday
154,Coffee,31-10-2016 14:00,Afternoon,Weekday
154,Coke,31-10-2016 14:00,Afternoon,Weekday
155,Tea,31-10-2016 14:01,Afternoon,Weekday
155,Muffin,31-10-2016 14:01,Afternoon,Weekday
155,Sandwich,31-10-2016 14:01,Afternoon,Weekday
156,Coffee,31-10-2016 14:04,Afternoon,Weekday
156,Muffin,31-10-2016 14:04,Afternoon,Weekday
157,Coffee,31-10-2016 14:05,Afternoon,Weekday
157,Bread,31-10-2016 14:05,Afternoon,Weekday
158,Coffee,31-10-2016 14:20,Afternoon,Weekday
158,Muffin,31-10-2016 14:20,Afternoon,Weekday
159,Bread,31-10-2016 14:22,Afternoon,Weekday
159,Hot chocolate,31-10-2016 14:22,Afternoon,Weekday
159,Cookies,31-10-2016 14:22,Afternoon,Weekday
160,Mineral water,31-10-2016 14:35,Afternoon,Weekday
160,Muffin,31-10-2016 14:35,Afternoon,Weekday
161,Tea,31-10-2016 14:42,Afternoon,Weekday
162,Muffin,31-10-2016 14:44,Afternoon,Weekday
163,Coffee,31-10-2016 14:47,Afternoon,Weekday
163,Juice,31-10-2016 14:47,Afternoon,Weekday
164,Coffee,31-10-2016 14:47,Afternoon,Weekday
164,Muffin,31-10-2016 14:47,Afternoon,Weekday
165,Tea,31-10-2016 14:48,Afternoon,Weekday
166,Coffee,31-10-2016 14:49,Afternoon,Weekday
166,Muffin,31-10-2016 14:49,Afternoon,Weekday
167,Sandwich,31-10-2016 14:50,Afternoon,Weekday
167,Hearty & Seasonal,31-10-2016 14:50,Afternoon,Weekday
167,Bread,31-10-2016 14:50,Afternoon,Weekday
167,Mineral water,31-10-2016 14:50,Afternoon,Weekday
168,Tea,31-10-2016 14:56,Afternoon,Weekday
168,Coffee,31-10-2016 14:56,Afternoon,Weekday
169,Mineral water,31-10-2016 15:05,Afternoon,Weekday
170,Coffee,31-10-2016 15:16,Afternoon,Weekday
171,Soup,31-10-2016 15:20,Afternoon,Weekday
171,Tea,31-10-2016 15:20,Afternoon,Weekday
172,Bread,31-10-2016 17:06,Evening,Weekday
172,Coffee,31-10-2016 17:06,Evening,Weekday
173,Bread,31-10-2016 17:08,Evening,Weekday
173,Muffin,31-10-2016 17:08,Evening,Weekday
174,Coffee,31-10-2016 17:40,Evening,Weekday
175,Bread,31-10-2016 17:49,Evening,Weekday
176,Cookies,31-10-2016 18:22,Evening,Weekday
176,Coffee,31-10-2016 18:22,Evening,Weekday
178,Coffee,11-01-2016 07:51,Morning,Weekday
178,Pastry,11-01-2016 07:51,Morning,Weekday
179,Coffee,11-01-2016 08:20,Morning,Weekday
179,Pastry,11-01-2016 08:20,Morning,Weekday
180,Jam,11-01-2016 08:22,Morning,Weekday
180,Tea,11-01-2016 08:22,Morning,Weekday
181,Tea,11-01-2016 08:45,Morning,Weekday
181,Tea,11-01-2016 08:45,Morning,Weekday
182,Pastry,11-01-2016 09:07,Morning,Weekday
182,Pastry,11-01-2016 09:07,Morning,Weekday
182,Ella's Kitchen Pouches,11-01-2016 09:07,Morning,Weekday
183,Pastry,11-01-2016 09:09,Morning,Weekday
184,Farm House,11-01-2016 09:26,Morning,Weekday
184,Tea,11-01-2016 09:26,Morning,Weekday
185,Tea,11-01-2016 09:29,Morning,Weekday
185,Victorian Sponge,11-01-2016 09:29,Morning,Weekday
186,Tea,11-01-2016 09:43,Morning,Weekday
186,Pastry,11-01-2016 09:43,Morning,Weekday
187,Bread,11-01-2016 10:02,Morning,Weekday
188,Coffee,11-01-2016 10:04,Morning,Weekday
189,Bread,11-01-2016 10:29,Morning,Weekday
189,Coffee,11-01-2016 10:29,Morning,Weekday
190,Coffee,11-01-2016 10:34,Morning,Weekday
190,Pastry,11-01-2016 10:34,Morning,Weekday
190,Pastry,11-01-2016 10:34,Morning,Weekday
191,Soup,11-01-2016 10:50,Morning,Weekday
191,Tea,11-01-2016 10:50,Morning,Weekday
192,Bread,11-01-2016 10:56,Morning,Weekday
193,Coffee,11-01-2016 11:00,Morning,Weekday
194,Bread,11-01-2016 11:04,Morning,Weekday
194,Bread,11-01-2016 11:04,Morning,Weekday
195,Bread,11-01-2016 11:06,Morning,Weekday
195,Scandinavian,11-01-2016 11:06,Morning,Weekday
196,Bread,11-01-2016 11:08,Morning,Weekday
196,Cake,11-01-2016 11:08,Morning,Weekday
196,Cookies,11-01-2016 11:08,Morning,Weekday
197,Coffee,11-01-2016 11:10,Morning,Weekday
197,Coffee,11-01-2016 11:10,Morning,Weekday
197,Tea,11-01-2016 11:10,Morning,Weekday
198,Coffee,11-01-2016 11:11,Morning,Weekday
198,Cookies,11-01-2016 11:11,Morning,Weekday
199,Coffee,11-01-2016 11:13,Morning,Weekday
200,Bread,11-01-2016 11:16,Morning,Weekday
201,Coffee,11-01-2016 11:22,Morning,Weekday
201,Pastry,11-01-2016 11:22,Morning,Weekday
202,Coffee,11-01-2016 11:23,Morning,Weekday
202,Coffee,11-01-2016 11:23,Morning,Weekday
203,Coffee,11-01-2016 11:25,Morning,Weekday
204,Scandinavian,11-01-2016 11:30,Morning,Weekday
204,Bread,11-01-2016 11:30,Morning,Weekday
205,Coffee,11-01-2016 11:49,Morning,Weekday
205,Coffee,11-01-2016 11:49,Morning,Weekday
205,Pastry,11-01-2016 11:49,Morning,Weekday
206,Scandinavian,11-01-2016 11:54,Morning,Weekday
206,Coffee,11-01-2016 11:54,Morning,Weekday
206,Pastry,11-01-2016 11:54,Morning,Weekday
207,Hearty & Seasonal,11-01-2016 12:03,Afternoon,Weekday
207,Coffee,11-01-2016 12:03,Afternoon,Weekday
207,Muffin,11-01-2016 12:03,Afternoon,Weekday
208,Bread,11-01-2016 12:10,Afternoon,Weekday
209,Coffee,11-01-2016 12:10,Afternoon,Weekday
210,Scandinavian,11-01-2016 12:12,Afternoon,Weekday
211,Soup,11-01-2016 12:15,Afternoon,Weekday
211,Coffee,11-01-2016 12:15,Afternoon,Weekday
212,Coffee,11-01-2016 12:20,Afternoon,Weekday
212,Cookies,11-01-2016 12:20,Afternoon,Weekday
212,Tartine,11-01-2016 12:20,Afternoon,Weekday
213,Bread,11-01-2016 12:22,Afternoon,Weekday
214,Bread,11-01-2016 12:26,Afternoon,Weekday
214,Tea,11-01-2016 12:26,Afternoon,Weekday
214,Tea,11-01-2016 12:26,Afternoon,Weekday
215,Pastry,11-01-2016 12:30,Afternoon,Weekday
215,Coffee,11-01-2016 12:30,Afternoon,Weekday
216,Tartine,11-01-2016 12:31,Afternoon,Weekday
216,Coffee,11-01-2016 12:31,Afternoon,Weekday
217,Bread,11-01-2016 12:33,Afternoon,Weekday
217,Cookies,11-01-2016 12:33,Afternoon,Weekday
218,Sandwich,11-01-2016 12:37,Afternoon,Weekday
219,Tartine,11-01-2016 12:41,Afternoon,Weekday
220,Bread,11-01-2016 12:49,Afternoon,Weekday
220,Pastry,11-01-2016 12:49,Afternoon,Weekday
221,Bread,11-01-2016 12:53,Afternoon,Weekday
221,Scandinavian,11-01-2016 12:53,Afternoon,Weekday
222,Scandinavian,11-01-2016 13:08,Afternoon,Weekday
223,Alfajores,11-01-2016 13:11,Afternoon,Weekday
223,Coffee,11-01-2016 13:11,Afternoon,Weekday
224,Coffee,11-01-2016 13:15,Afternoon,Weekday
225,Coffee,11-01-2016 13:19,Afternoon,Weekday
225,Coke,11-01-2016 13:19,Afternoon,Weekday
225,Soup,11-01-2016 13:19,Afternoon,Weekday
226,Cake,11-01-2016 13:21,Afternoon,Weekday
227,Tea,11-01-2016 13:31,Afternoon,Weekday
227,Sandwich,11-01-2016 13:31,Afternoon,Weekday
227,Soup,11-01-2016 13:31,Afternoon,Weekday
228,Coffee,11-01-2016 13:33,Afternoon,Weekday
229,Hearty & Seasonal,11-01-2016 13:37,Afternoon,Weekday
229,Bread,11-01-2016 13:37,Afternoon,Weekday
230,Alfajores,11-01-2016 13:41,Afternoon,Weekday
231,Cake,11-01-2016 13:45,Afternoon,Weekday
232,Tea,11-01-2016 14:10,Afternoon,Weekday
232,Tea,11-01-2016 14:10,Afternoon,Weekday
232,Bread,11-01-2016 14:10,Afternoon,Weekday
233,Coffee,11-01-2016 14:13,Afternoon,Weekday
233,Tea,11-01-2016 14:13,Afternoon,Weekday
233,Bread,11-01-2016 14:13,Afternoon,Weekday
233,Soup,11-01-2016 14:13,Afternoon,Weekday
234,Coffee,11-01-2016 14:14,Afternoon,Weekday
234,Coffee,11-01-2016 14:14,Afternoon,Weekday
235,Scandinavian,11-01-2016 14:18,Afternoon,Weekday
236,Fudge,11-01-2016 14:22,Afternoon,Weekday
237,Coffee,11-01-2016 14:25,Afternoon,Weekday
237,Sandwich,11-01-2016 14:25,Afternoon,Weekday
238,Tea,11-01-2016 14:37,Afternoon,Weekday
238,Bread,11-01-2016 14:37,Afternoon,Weekday
238,Cookies,11-01-2016 14:37,Afternoon,Weekday
238,Pastry,11-01-2016 14:37,Afternoon,Weekday
239,Muffin,11-01-2016 14:37,Afternoon,Weekday
240,Scandinavian,11-01-2016 14:42,Afternoon,Weekday
241,Jam,11-01-2016 14:54,Afternoon,Weekday
241,Tea,11-01-2016 14:54,Afternoon,Weekday
242,Juice,11-01-2016 15:02,Afternoon,Weekday
242,Tea,11-01-2016 15:02,Afternoon,Weekday
242,Alfajores,11-01-2016 15:02,Afternoon,Weekday
243,Cake,11-01-2016 15:18,Afternoon,Weekday
243,Muffin,11-01-2016 15:18,Afternoon,Weekday
243,Coffee,11-01-2016 15:18,Afternoon,Weekday
243,Soup,11-01-2016 15:18,Afternoon,Weekday
